"id","code","name","level_id","parent_id","path"
"55103",NULL,"Nzunguni","5","343","1.15.69.343."
"55104",NULL,"Nzunguni","5","349","1.15.70.349."
"55105",NULL,"Nzunguni","5","357","1.15.72.357."
"55106",NULL,"Nzunguni","5","369","1.15.74.369."
"55107",NULL,"Nzunguni","5","366","1.15.74.366."
"55108",NULL,"Nzunzini","5","353","1.15.71.353."
"55109",NULL,"Nzunzini","5","351","1.15.71.351."
"55110",NULL,"Nzunzini","5","357","1.15.72.357."
"55111",NULL,"Nzunzini","5","361","1.15.73.361."
"55112",NULL,"Nzunzuni B","5","357","1.15.72.357."
"55113",NULL,"Napusinyen","5","634","1.23.127.634."
"55114",NULL,"Nyandemra A","5","1245","1.43.250.1245."
"55115",NULL,"Nyanango","5","1251","1.43.250.1251."
"55116",NULL,"Ngururuni","5","335","1.15.67.335."
"55117",NULL,"Ngurutome","5","339","1.15.68.339."
"55118",NULL,"Ngusuni","5","354","1.15.72.354."
"55119",NULL,"Nguswini","5","339","1.15.68.339."
"55120",NULL,"Nguswini","5","367","1.15.74.367."
"55121",NULL,"Ngusyini","5","350","1.15.71.350."
"55122",NULL,"Ngusyini","5","351","1.15.71.351."
"55123",NULL,"Ngurungu","5","334","1.15.67.334."
"55124",NULL,"Ngutani","5","331","1.15.67.331."
"55125",NULL,"Ngutu","5","1251","1.43.250.1251."
"55126",NULL,"Nguuku","5","333","1.15.67.333."
"55127",NULL,"Nguumo","5","338","1.15.68.338."
"55128",NULL,"Nguumo","5","358","1.15.72.358."
"55129",NULL,"Nguumo","5","370","1.15.74.370."
"55130",NULL,"Nguumo","5","366","1.15.74.366."
"55131",NULL,"Nguumoni","5","367","1.15.74.367."
"55132",NULL,"Ngutho","5","338","1.15.68.338."
"55133",NULL,"Ngurmesek","5","634","1.23.127.634."
"55134",NULL,"Ngure","5","1225","1.43.245.1225."
"55135",NULL,"Ngura","5","1255","1.43.251.1255."
"55136",NULL,"Ngunange","5","367","1.15.74.367."
"55137",NULL,"Ngunga Sya Nthi","5","347","1.15.70.347."
"55138",NULL,"Ngungani","5","333","1.15.67.333."
"55139",NULL,"Ngungani","5","353","1.15.71.353."
"55140",NULL,"Ngungi","5","333","1.15.67.333."
"55141",NULL,"Ngungi","5","358","1.15.72.358."
"55142",NULL,"Ngungi","5","361","1.15.73.361."
"55143",NULL,"Ngunguni","5","347","1.15.70.347."
"55144",NULL,"Nguni","5","341","1.15.69.341."
"55145",NULL,"Nguni","5","342","1.15.69.342."
"55146",NULL,"Nguni","5","352","1.15.71.352."
"55147",NULL,"Nguni","5","370","1.15.74.370."
"55148",NULL,"Ngunini","5","340","1.15.69.340."
"55149",NULL,"Ngunini","5","344","1.15.69.344."
"55150",NULL,"Ngunini","5","349","1.15.70.349."
"55151",NULL,"Ngunini","5","365","1.15.74.365."
"55152",NULL,"Ngunyanoni","5","346","1.15.70.346."
"55153",NULL,"Nguuni","5","333","1.15.67.333."
"55154",NULL,"Nguuni","5","334","1.15.67.334."
"55155",NULL,"Nguuni","5","336","1.15.68.336."
"55156",NULL,"Nguuni","5","340","1.15.69.340."
"55157",NULL,"Ngwate","5","368","1.15.74.368."
"55158",NULL,"Ngwiyoni","5","350","1.15.71.350."
"55159",NULL,"Ng’akaabuk","5","617","1.23.124.617."
"55160",NULL,"Ng’ilelea","5","617","1.23.124.617."
"55161",NULL,"Ng’imanimania","5","617","1.23.124.617."
"55162",NULL,"Ng’iremeto","5","617","1.23.124.617."
"55163",NULL,"Nii","5","370","1.15.74.370."
"55164",NULL,"Nimusio","5","621","1.23.124.621."
"55165",NULL,"Nimwae","5","611","1.23.123.611."
"55166",NULL,"Njiri","5","1248","1.43.250.1248."
"55167",NULL,"Nkaraku","5","335","1.15.67.335."
"55168",NULL,"Nkoru","5","335","1.15.67.335."
"55169",NULL,"Nmii","5","630","1.23.126.630."
"55170",NULL,"Norad","5","628","1.23.125.628."
"55171",NULL,"Nsakuwalet","5","632","1.23.126.632."
"55172",NULL,"Ntabanyi","5","639","1.23.128.639."
"55173",NULL,"Nthamboni A","5","352","1.15.71.352."
"55174",NULL,"Ngwata","5","363","1.15.73.363."
"55175",NULL,"Ngumuni","5","360","1.15.73.360."
"55176",NULL,"Ngwata","5","353","1.15.71.353."
"55177",NULL,"Ngwani","5","369","1.15.74.369."
"55178",NULL,"Nguuni","5","343","1.15.69.343."
"55179",NULL,"Nguuni","5","346","1.15.70.346."
"55180",NULL,"Nguuni","5","352","1.15.71.352."
"55181",NULL,"Nguuni","5","351","1.15.71.351."
"55182",NULL,"Nguuni","5","354","1.15.72.354."
"55183",NULL,"Nguuni","5","362","1.15.73.362."
"55184",NULL,"Nguuni","5","359","1.15.73.359."
"55185",NULL,"Nguuni","5","365","1.15.74.365."
"55186",NULL,"Nguuni Centre","5","350","1.15.71.350."
"55187",NULL,"Nguutani","5","337","1.15.68.337."
"55188",NULL,"Nguutani","5","342","1.15.69.342."
"55189",NULL,"Nguutani Town","5","337","1.15.68.337."
"55190",NULL,"Nguutu","5","354","1.15.72.354."
"55191",NULL,"Nguvuni","5","343","1.15.69.343."
"55192",NULL,"Nguwuni","5","365","1.15.74.365."
"55193",NULL,"Ngwambu","5","348","1.15.70.348."
"55194",NULL,"Ngwani","5","358","1.15.72.358."
"55195",NULL,"Ngwasini","5","354","1.15.72.354."
"55196",NULL,"Nthamboni B","5","352","1.15.71.352."
"55197",NULL,"Ngumbwa","5","358","1.15.72.358."
"55198",NULL,"Nguluuni","5","366","1.15.74.366."
"55199",NULL,"Ngomano","5","334","1.15.67.334."
"55200",NULL,"Ngomano","5","347","1.15.70.347."
"55201",NULL,"Ngomano","5","350","1.15.71.350."
"55202",NULL,"Ngomano","5","366","1.15.74.366."
"55203",NULL,"Ngombeni","5","333","1.15.67.333."
"55204",NULL,"Ngomeni","5","336","1.15.68.336."
"55205",NULL,"Ngomeni","5","337","1.15.68.337."
"55206",NULL,"Ngomano","5","331","1.15.67.331."
"55207",NULL,"Ngomeni","5","349","1.15.70.349."
"55208",NULL,"Ngomeni","5","366","1.15.74.366."
"55209",NULL,"Ngomoni","5","353","1.15.71.353."
"55210",NULL,"Ngomooni","5","363","1.15.73.363."
"55211",NULL,"Ngondini","5","336","1.15.68.336."
"55212",NULL,"Ngondini","5","340","1.15.69.340."
"55213",NULL,"Ngongoni","5","334","1.15.67.334."
"55214",NULL,"Ngongoni","5","337","1.15.68.337."
"55215",NULL,"Ngomeni","5","346","1.15.70.346."
"55216",NULL,"Ngomano","5","332","1.15.67.332."
"55217",NULL,"Ngomangoni","5","346","1.15.70.346."
"55218",NULL,"Ngomango","5","361","1.15.73.361."
"55219",NULL,"Ngiyokori","5","640","1.23.128.640."
"55220",NULL,"Ngoano","5","347","1.15.70.347."
"55221",NULL,"Ngoche","5","1236","1.43.247.1236."
"55222",NULL,"Ngoche","5","1257","1.43.252.1257."
"55223",NULL,"Ngodhe Island","5","1253","1.43.251.1253."
"55224",NULL,"Ngokoani","5","344","1.15.69.344."
"55225",NULL,"Ngolan","5","613","1.23.123.613."
"55226",NULL,"Ngoleni","5","352","1.15.71.352."
"55227",NULL,"Ngoleni","5","356","1.15.72.356."
"55228",NULL,"Ngolo","5","1229","1.43.246.1229."
"55229",NULL,"Ngolo A","5","1245","1.43.250.1245."
"55230",NULL,"Ngolo B","5","1245","1.43.250.1245."
"55231",NULL,"Ngoloki","5","623","1.23.124.623."
"55232",NULL,"Ngolomoto","5","354","1.15.72.354."
"55233",NULL,"Ngolongo","5","332","1.15.67.332."
"55234",NULL,"Ngomaline","5","1259","1.43.252.1259."
"55235",NULL,"Ngomango","5","349","1.15.70.349."
"55236",NULL,"Ngongu","5","337","1.15.68.337."
"55237",NULL,"Ngongu","5","346","1.15.70.346."
"55238",NULL,"Ngoni","5","336","1.15.68.336."
"55239",NULL,"Ngoo","5","344","1.15.69.344."
"55240",NULL,"Nguku B","5","1247","1.43.250.1247."
"55241",NULL,"Nguku C","5","1247","1.43.250.1247."
"55242",NULL,"Nguku Icipe","5","1246","1.43.250.1246."
"55243",NULL,"Ngukuni","5","351","1.15.71.351."
"55244",NULL,"Ngukuuni","5","351","1.15.71.351."
"55245",NULL,"Ngulilu","5","338","1.15.68.338."
