id,parentid,level,name
13614775,45821,4,Timbwani (Likoni)
13612358,71563,4,Timau (Buuri)
13615838,89,4,Tigithi (Laikipia East)
13615837,89,4,Thingithu (Laikipia East)
13614059,66431,4,Thiba (Kirinyaga North/Mwea West)
13609778,78938,4,Theta (Juja)
13612473,274715,4,Thegu River (Kieni East)
13842396,87,4,Tharaka (Mwingi North)
13612534,500872,4,Thange (Kibwezi East)
13616646,72170,4,Thangatha (Tigania East)
13617062,3573903,4,Tezo (Kilifi North)
13618230,131,4,Terik (Aldai)
13615993,27,4,Tenges (Baringo Central)
13614452,63109,4,Tendeno/Sorget (Kipkelion East)
13907133,42,4,Tembelio (Moiben)
13612284,37,4,Tebesonik (Bureti)
26407631,66432,4,Tebere (Kirinyaga South)
13633643,274788,4,Tarbaj (Tarbaj)
13613743,2891590,4,Tarakwa (Kesses)
13907405,2891589,4,Tapsagoi (Turbo)
13618428,62951,4,Tapach (Pokot South)
13615482,69867053,4,Tangulbei/Korossi ()
13610299,52,4,Tambua (Hamisi)
13616352,67,4,Tambach (Keiyo North)
13612991,70051,4,Tala (Matungulu)
26407638,102,4,Takaba South (Mandera West)
13613322,102,4,Takaba (Mandera West)
13615036,84,4,Tagare (Kuria West)
13617016,51,4,Tabaka (South Mugirango)
13610321,23497,4,Syokimau/Mulolongo (Athi River)
13613283,8486260,4,Suswa (Narok East)
13615570,1741070,4,Suna Central (Suna East)
13613935,146,4,Suguta Marmar (Samburu Central)
13612557,61240,4,Subukia (Subukia)
13612464,142,4,Suam (Pokot North)
13907359,43,4,Soy (Soy)
13618207,69331,4,Soy South (Keiyo South)
22888899,33,4,Soysambu/Mitua (Tongaren)
13618204,69331,4,Soy North (Keiyo South)
13615151,53971,4,South West Nyakach (Nyakach)
13612495,406263,4,South West Kisumu (Kisumu West)
13612330,144,4,South Uyoma (Rarieda)
13614902,30,4,South Sakwa (Bondo)
13615140,274789,4,South Sakwa (Awendo)
13615774,168,4,South Maragoli (Vihiga)
13614573,143,4,South Kasipul (Rachuonyo South)
13614095,97310,4,South Kanyamkago (Uriri)
13614273,145,4,South Kamagambo (Rongo)
13613948,63,4,South Kabras (Malava)
13615855,45417,4,South Gem (Gem)
13615149,53971,4,South East Nyakach (Nyakach)
13613684,150,4,South East Alego (Alego Usonga)
13613400,124,4,South C (Langata)
13614640,51968,4,South Bukusu (Bumula)
13618074,90,4,Sosian (Laikipia North)
13612415,174,4,Sook (West Pokot)
13614656,63430,4,Songot (Turkana West)
13615650,161,4,Songhor/Soba (Tinderet)
13616507,113,4,Sololo (Moyale)
13616405,10997000,4,Soliat (Sigowet/Soin)
13615727,61109,4,Solai (Rongai)
13617061,3573903,4,Sokoni (Kilifi North)
13617090,45818,4,Sokoke (Ganze)
13616402,10997000,4,Soin (Sigowet/Soin)
13615723,61109,4,Soin (Rongai)
13610225,133,4,Sogoo (Narok South)
13612413,174,4,Siyoi (West Pokot)
13613388,10347918,4,Sitikho (Webuye West)
13612146,163,4,Sitatunga (Cherangany)
13616199,63433,4,Sirikwa (Kuresoi North)
13615948,164,4,Sirende (Kiminini)
13621443,63144,4,Siongiroi (Chepalungu)
13612139,163,4,Sinyerere (Cherangany)
13612259,51969,4,Sinoko (Likuyani)
13621434,29,4,Singorwet (Bomet Central)
13907208,173,4,Simat/Kapseret (Kapseret)
13621430,29,4,Silibwet Township (Bomet Central)
13615500,69867053,4,Silale ()
13615945,164,4,Sikhendu (Kiminini)
13616400,10997000,4,Sigowet (Sigowet/Soin)
13621439,63144,4,Sigor (Chepalungu)
13615210,274645,4,Sigona (Kikuyu)
13615440,274790,4,Sigomere (Ugunja)
13615438,274790,4,Sidindi (Ugunja)
13614575,51968,4,Siboti (Bumula)
13613682,150,4,Siaya Township (Alego Usonga)
13615800,8486261,4,Siana (Narok West)
13613943,63,4,Shirungu-mugai (Malava)
13610294,52,4,Shiru (Hamisi)
13612396,61,4,Shirere (Lurambi)
13614319,301666,4,Shinoyi-shikomari-esumeiya (Navakholo)
13617072,3573906,4,Shimo La Tewa (Kilifi South)
15255979,100,4,Shimbir Fatuma (Mandera South)
13613642,46109,4,Shimanzi/Ganjoni (Mvita)
13614772,45821,4,Shika Adabu (Likoni)
13612395,61,4,Sheywe (Lurambi)
13617081,99,4,Shella (Malindi)
13615314,93,4,Shella (Lamu West)
13615901,52345915,4,Shauri Moyo Kaloleni (Kisumu Central)
13613639,112,4,Shanzu (Kisauni)
13615539,162,4,Shankoe (Transmara West)
13611860,135,4,Shamata (Ndaragwa)
26407665,52,4,Shamakhokho (Hamisi)
13615216,5550020,4,Shaabab (Nakuru West)
13613790,47,4,Sericho (Garbatulla)
13907151,42,4,Sergoit (Moiben)
13617039,54297,4,Sensi (Kitutu Chache North)
13612661,104,4,Sengwer (Marakwet West)
13618139,141,4,Sekerr (Pokot Central)
13907348,43,4,Segeroi/Barsombe (Soy)
13618072,90,4,Segera (Laikipia North)
13612627,274788,4,Sarman (Tarbaj)
13617093,6458775,4,Sarang'ombe (Kibra)
13615424,48,4,Sankuri (Garissa)
13612258,51969,4,Sango (Likuyani)
13612368,130,4,Sangalo/Kebulonik (Mosop)
13616767,274781,4,Sangailu (Hulugho)
13616971,54405,4,Sameta/Mokwerero (Bobasi)
13612105,58550,4,Sambirir (Marakwet East)
13615923,91,4,Salama (Laikipia West)
26407651,45832,4,Sala (Bura)
13614104,223918,4,Saka (Balambala)
26407613,28,4,Saimo/Soi (Baringo North)
26407666,28,4,Saimoi/Kipsaraman (Baringo North)
13612251,105,4,Sagante/Jaldesa (Saku)
26407647,133,4,Sagamian (Narok South)
13612442,153,4,Sagala (Voi)
13615976,27,4,Sacho (Baringo Central)
13612381,3976864,4,Saboti (Saboti)
13614799,88,4,Sabena (Lagdera)
13617073,46121,4,Sabaki (Magarini)
15515104,66435,4,Rwathia (Kangema)
13613276,167960,4,Rware (Nyeri Central)
13617960,54482,4,Rusinga Island (Mbita)
13617046,45819,4,Ruruma (Rabai)
13613267,167960,4,Ruring'u (Nyeri Central)
13615338,79767,4,Rurii (Olkalou)
13615922,91,4,Rumuruti Township (Laikipia West)
26407617,152,4,Ruma-kaksingiri East (Suba South)
13618794,71563,4,Ruiru/Rwawera (Buuri)
13613844,5206201,4,Ruguru-ngandori (Manyatta)
13615505,274705,4,Ruguru (Mathira West)
13612568,167962,4,Rugi (Mukurweini)
13613214,79041,4,Ruchu (Kandara)
13614176,23398,4,Ruai (Kasarani)
13614836,6458808,4,Roysambu (Roysambu)
13621479,151,4,Rongena/Manaret (Sotik)
13613631,45834,4,Ronge (Mwatate)
13612045,94,4,Rombo (Loitokitok)
13612412,174,4,Riwo (West Pokot)
13589748,6458693,4,Riruta (Dagoretti South)
13616207,106,4,Rigoma (Masaba North)
26407614,41,4,Ribkwo (East Pokot)
13616980,78,4,Riana (Bonchari)
13618124,69,4,Riabai (Kiambu Town)
