,id,name,level,parent,children_url
7429,55363,Bulla Bakdad,Village,12454,/clts/user/loadUnitDashboard?id=55363
7430,55361,Bulla Bangal,Village,12454,/clts/user/loadUnitDashboard?id=55361
7431,55366,Bulla Bangal-makaror,Village,12454,/clts/user/loadUnitDashboard?id=55366
7432,55380,Bulla Bledi,Village,12454,/clts/user/loadUnitDashboard?id=55380
7433,55368,Bulla Digdaar,Village,12454,/clts/user/loadUnitDashboard?id=55368
7434,55375,Bulla Icf,Village,12454,/clts/user/loadUnitDashboard?id=55375
7435,55365,Bulla Isiolo,Village,12454,/clts/user/loadUnitDashboard?id=55365
7436,55379,Bulla Jogoo 1,Village,12454,/clts/user/loadUnitDashboard?id=55379
7437,55381,Bulla Jogoo Shariff,Village,12454,/clts/user/loadUnitDashboard?id=55381
7438,55364,Bulla Kalkacha,Village,12454,/clts/user/loadUnitDashboard?id=55364
7439,55382,Bulla Kurman - Jogoo,Village,12454,/clts/user/loadUnitDashboard?id=55382
7440,55376,Bulla Power,Village,12454,/clts/user/loadUnitDashboard?id=55376
7441,55378,Bulla Sheikh,Village,12454,/clts/user/loadUnitDashboard?id=55378
7442,55370,Bulla Shire 1,Village,12454,/clts/user/loadUnitDashboard?id=55370
7443,55371,Bulla Shire 2,Village,12454,/clts/user/loadUnitDashboard?id=55371
7444,55373,Bulla Shoka,Village,12454,/clts/user/loadUnitDashboard?id=55373
7445,55367,Bulla Slotta,Village,12454,/clts/user/loadUnitDashboard?id=55367
7446,55377,Bulla Sunshine,Village,12454,/clts/user/loadUnitDashboard?id=55377
7447,55372,Bulla Surai,Village,12454,/clts/user/loadUnitDashboard?id=55372
7448,55374,Bulla Towhid,Village,12454,/clts/user/loadUnitDashboard?id=55374
7449,55362,Bulla Wagalla,Village,12454,/clts/user/loadUnitDashboard?id=55362
7450,17665,Bulla Waso,Village,12454,/clts/user/loadUnitDashboard?id=17665
7451,12455,Khorof/harar,Ward,12453,/clts/user/loadUnitDashboard?id=12455
7452,54900,Bulla Bardere,Village,12455,/clts/user/loadUnitDashboard?id=54900
7453,54976,Bulla Barwaqo-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54976
7454,54988,Bulla Barwaqo-qarsa,Village,12455,/clts/user/loadUnitDashboard?id=54988
7455,54970,Bulla Central-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54970
7456,55001,Bulla Central-riba,Village,12455,/clts/user/loadUnitDashboard?id=55001
7457,54973,Bulla Darken,Village,12455,/clts/user/loadUnitDashboard?id=54973
7458,54994,Bulla Daw,Village,12455,/clts/user/loadUnitDashboard?id=54994
7459,55012,Bulla Dhabaunun,Village,12455,/clts/user/loadUnitDashboard?id=55012
7460,55017,Bulla Dhagah Badan,Village,12455,/clts/user/loadUnitDashboard?id=55017
7461,54990,Bulla Dhagahley,Village,12455,/clts/user/loadUnitDashboard?id=54990
7462,54985,Bulla Dhigdaar,Village,12455,/clts/user/loadUnitDashboard?id=54985
7463,55004,Bulla Dispensary,Village,12455,/clts/user/loadUnitDashboard?id=55004
7464,54983,Bulla Dukut,Village,12455,/clts/user/loadUnitDashboard?id=54983
7465,54996,Bulla Elmi,Village,12455,/clts/user/loadUnitDashboard?id=54996
7466,54991,Bulla Faryar,Village,12455,/clts/user/loadUnitDashboard?id=54991
7467,54980,Bulla Galol,Village,12455,/clts/user/loadUnitDashboard?id=54980
7468,55008,Bulla Galol-riba,Village,12455,/clts/user/loadUnitDashboard?id=55008
7469,54998,Bulla Garas,Village,12455,/clts/user/loadUnitDashboard?id=54998
7470,54902,Bulla Godey ,Village,12455,/clts/user/loadUnitDashboard?id=54902
7471,54986,Bulla Gududow,Village,12455,/clts/user/loadUnitDashboard?id=54986
7472,54896,Bulla Gumar-wajir Bor ,Village,12455,/clts/user/loadUnitDashboard?id=54896
7473,55011,Bulla Hagar,Village,12455,/clts/user/loadUnitDashboard?id=55011
7474,54901,Bulla Hir,Village,12455,/clts/user/loadUnitDashboard?id=54901
7475,54982,Bulla Horr,Village,12455,/clts/user/loadUnitDashboard?id=54982
7476,54987,Bulla Howlwathaag,Village,12455,/clts/user/loadUnitDashboard?id=54987
7477,54999,Bulla Iman,Village,12455,/clts/user/loadUnitDashboard?id=54999
7478,54971,Bulla Jogoo-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54971
7479,54972,Bulla Jowhar A -khorof,Village,12455,/clts/user/loadUnitDashboard?id=54972
7480,55007,Bulla Karaash,Village,12455,/clts/user/loadUnitDashboard?id=55007
7481,54993,Bulla Kheir,Village,12455,/clts/user/loadUnitDashboard?id=54993
7482,54984,Bulla Koofur,Village,12455,/clts/user/loadUnitDashboard?id=54984
7483,54978,Bulla Kurman-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54978
7484,55003,Bulla Kurman-riba,Village,12455,/clts/user/loadUnitDashboard?id=55003
7485,54897,Bulla Kurman-wajir Bor,Village,12455,/clts/user/loadUnitDashboard?id=54897
7486,55014,Bulla Kuuley,Village,12455,/clts/user/loadUnitDashboard?id=55014
7487,55002,Bulla Madarasa,Village,12455,/clts/user/loadUnitDashboard?id=55002
7488,54989,Bulla Madina-qarsa,Village,12455,/clts/user/loadUnitDashboard?id=54989
7489,54992,Bulla Majid,Village,12455,/clts/user/loadUnitDashboard?id=54992
7490,55009,Bulla Mshiin,Village,12455,/clts/user/loadUnitDashboard?id=55009
7491,17664,Bulla Ohob,Village,12455,/clts/user/loadUnitDashboard?id=17664
7492,58690,Bulla Ohob - Wajir Bor,Village,12455,/clts/user/loadUnitDashboard?id=58690
7493,54981,Bulla Oman,Village,12455,/clts/user/loadUnitDashboard?id=54981
7494,55018,Bulla Orah Kasobah,Village,12455,/clts/user/loadUnitDashboard?id=55018
7495,55016,Bulla Qabaq Haluul,Village,12455,/clts/user/loadUnitDashboard?id=55016
7496,54898,Bulla Qahira,Village,12455,/clts/user/loadUnitDashboard?id=54898
7497,54899,Bulla Sekedari,Village,12455,/clts/user/loadUnitDashboard?id=54899
7498,55010,Bulla Shandarmood,Village,12455,/clts/user/loadUnitDashboard?id=55010
7499,55013,Bulla Shubguduud,Village,12455,/clts/user/loadUnitDashboard?id=55013
7500,54997,Bulla Skul,Village,12455,/clts/user/loadUnitDashboard?id=54997
7501,54977,Bulla T.b,Village,12455,/clts/user/loadUnitDashboard?id=54977
7502,54905,Bulla Town-wajir Bor,Village,12455,/clts/user/loadUnitDashboard?id=54905
7503,55015,Bulla Township-arbaqaramso,Village,12455,/clts/user/loadUnitDashboard?id=55015
7504,54979,Bulla Township-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54979
7505,54974,Bulla Wagberi-khorof,Village,12455,/clts/user/loadUnitDashboard?id=54974
7506,55005,Bulla Wagberi-riba,Village,12455,/clts/user/loadUnitDashboard?id=55005
7507,54903,Bulla Wagberi-sitawario,Village,12455,/clts/user/loadUnitDashboard?id=54903
7508,55000,Bulla Wanag,Village,12455,/clts/user/loadUnitDashboard?id=55000
7509,54995,Bulla Yahuud,Village,12455,/clts/user/loadUnitDashboard?id=54995
7510,12456,Township,Ward,12453,/clts/user/loadUnitDashboard?id=12456
7511,55396,Bulla Amar - Shallete,Village,12456,/clts/user/loadUnitDashboard?id=55396
7512,55387,Bulla Baraza Park,Village,12456,/clts/user/loadUnitDashboard?id=55387
7513,55383,Bulla Bk1,Village,12456,/clts/user/loadUnitDashboard?id=55383
7514,17663,Bulla Bk2,Village,12456,/clts/user/loadUnitDashboard?id=17663
7515,55399,Bulla Furaha,Village,12456,/clts/user/loadUnitDashboard?id=55399
7516,55398,Bulla Gaduud - Shallete,Village,12456,/clts/user/loadUnitDashboard?id=55398
7517,55391,Bulla Got-rahma,Village,12456,/clts/user/loadUnitDashboard?id=55391
7518,55392,Bulla Hodan,Village,12456,/clts/user/loadUnitDashboard?id=55392
7519,55388,Bulla Kishuru 1,Village,12456,/clts/user/loadUnitDashboard?id=55388
7520,55389,Bulla Kishuru 2,Village,12456,/clts/user/loadUnitDashboard?id=55389
7521,55384,Bulla Madina 1,Village,12456,/clts/user/loadUnitDashboard?id=55384
7522,55385,Bulla Madina 2,Village,12456,/clts/user/loadUnitDashboard?id=55385
7523,55397,Bulla Shakuru,Village,12456,/clts/user/loadUnitDashboard?id=55397
7524,55393,Bulla Shallete 1,Village,12456,/clts/user/loadUnitDashboard?id=55393
7525,55394,Bulla Shallete 2,Village,12456,/clts/user/loadUnitDashboard?id=55394
7526,55395,Bulla Shallete 2,Village,12456,/clts/user/loadUnitDashboard?id=55395
7527,55390,Bulla South C,Village,12456,/clts/user/loadUnitDashboard?id=55390
7528,55386,Bulla Town Central,Village,12456,/clts/user/loadUnitDashboard?id=55386
7529,12457,Wagberi,Ward,12453,/clts/user/loadUnitDashboard?id=12457
7530,56461, Bulla Dugowahas,Village,12457,/clts/user/loadUnitDashboard?id=56461
7531,56465, Bulla Wagberi Primary,Village,12457,/clts/user/loadUnitDashboard?id=56465
7532,56459,Bulla  Bulla Aic,Village,12457,/clts/user/loadUnitDashboard?id=56459
7533,56467,Bulla  Hallane 2,Village,12457,/clts/user/loadUnitDashboard?id=56467
7534,56473,Bulla  Power ,Village,12457,/clts/user/loadUnitDashboard?id=56473
7535,56446,Bulla  Wagberi 1,Village,12457,/clts/user/loadUnitDashboard?id=56446
7536,56464,Bulla Abdiaziz,Village,12457,/clts/user/loadUnitDashboard?id=56464
7537,56460,Bulla Bulla Catholic,Village,12457,/clts/user/loadUnitDashboard?id=56460
7538,56447,Bulla Com 2,Village,12457,/clts/user/loadUnitDashboard?id=56447
7539,56448,Bulla Com 3,Village,12457,/clts/user/loadUnitDashboard?id=56448
7540,56463,Bulla El-adow,Village,12457,/clts/user/loadUnitDashboard?id=56463
7541,56466,Bulla Halane 1,Village,12457,/clts/user/loadUnitDashboard?id=56466
7542,56468,Bulla Hallane 3a,Village,12457,/clts/user/loadUnitDashboard?id=56468
7543,56469,Bulla Hallane 3b,Village,12457,/clts/user/loadUnitDashboard?id=56469
7544,56470,Bulla Hallane 3c,Village,12457,/clts/user/loadUnitDashboard?id=56470
7545,56471,Bulla Hallane 4a,Village,12457,/clts/user/loadUnitDashboard?id=56471
7546,56472,Bulla Hallane B,Village,12457,/clts/user/loadUnitDashboard?id=56472
7547,56453,Bulla Hillow Village ,Village,12457,/clts/user/loadUnitDashboard?id=56453
7548,17673,Bulla Karim,Village,12457,/clts/user/loadUnitDashboard?id=17673
7549,56458,Bulla Lmd,Village,12457,/clts/user/loadUnitDashboard?id=56458
7550,56454,Bulla Maalim Ibrahim,Village,12457,/clts/user/loadUnitDashboard?id=56454
7551,56455,Bulla Madara Suada,Village,12457,/clts/user/loadUnitDashboard?id=56455
7552,56457,Bulla Mandera Road,Village,12457,/clts/user/loadUnitDashboard?id=56457
7553,56452,Bulla Mohammed Elmi,Village,12457,/clts/user/loadUnitDashboard?id=56452
7554,56462,Bulla Polytechnic,Village,12457,/clts/user/loadUnitDashboard?id=56462
7555,56449,Bulla Sheikh Abas,Village,12457,/clts/user/loadUnitDashboard?id=56449
7556,56451,Bulla Suban ,Village,12457,/clts/user/loadUnitDashboard?id=56451
7557,56450,Bulla Wagberi 2,Village,12457,/clts/user/loadUnitDashboard?id=56450
7558,56456,Bulla   Bash,Village,12457,/clts/user/loadUnitDashboard?id=56456
7559,53732,Ward Unassigned,Ward,12453,/clts/user/loadUnitDashboard?id=53732
7560,54083,Unassigned,Village,53732,/clts/user/loadUnitDashboard?id=54083
7561,12445,Wajir North,Subcounty,8692,/clts/user/loadUnitDashboard?id=12445
7562,12451,Batalu,Ward,12445,/clts/user/loadUnitDashboard?id=12451
7563,18558,Unassigned,Village,12451,/clts/user/loadUnitDashboard?id=18558
7564,12452,Bute,Ward,12445,/clts/user/loadUnitDashboard?id=12452
7565,18557,Unassigned,Village,12452,/clts/user/loadUnitDashboard?id=18557
7566,12446,Danaba,Ward,12445,/clts/user/loadUnitDashboard?id=12446
7567,18569,Unassigned,Village,12446,/clts/user/loadUnitDashboard?id=18569
7568,12447,Godoma,Ward,12445,/clts/user/loadUnitDashboard?id=12447
7569,18568,Unassigned,Village,12447,/clts/user/loadUnitDashboard?id=18568
7570,12448,Gurar,Ward,12445,/clts/user/loadUnitDashboard?id=12448
7571,18567,Unassigned,Village,12448,/clts/user/loadUnitDashboard?id=18567
7572,12449,Korondile,Ward,12445,/clts/user/loadUnitDashboard?id=12449
7573,18566,Unassigned,Village,12449,/clts/user/loadUnitDashboard?id=18566
7574,12450,Malkagufu,Ward,12445,/clts/user/loadUnitDashboard?id=12450
7575,56957,Bulla Boru Idho,Village,12450,/clts/user/loadUnitDashboard?id=56957
7576,56951,Bulla Cherdab,Village,12450,/clts/user/loadUnitDashboard?id=56951
7577,56956,Bulla Cherdab,Village,12450,/clts/user/loadUnitDashboard?id=56956
7578,56958,Bulla Chibabicha,Village,12450,/clts/user/loadUnitDashboard?id=56958
7579,56955,Bulla Fulo,Village,12450,/clts/user/loadUnitDashboard?id=56955
7580,18565,Bulla Gumar,Village,12450,/clts/user/loadUnitDashboard?id=18565
